#OTU ID	BS1
ZOTU_3289	13
ZOTU_3296	10
ZOTU_3303	11
ZOTU_3305	5
ZOTU_3311	5
ZOTU_3320	3
ZOTU_3326	3
ZOTU_3327	1
ZOTU_3338	25
ZOTU_3372	4
ZOTU_3375	4
ZOTU_3377	1
ZOTU_3380	9
ZOTU_3385	13
ZOTU_3420	1
ZOTU_3421	6
ZOTU_3433	16
ZOTU_3460	11
ZOTU_3478	1
ZOTU_3480	16
ZOTU_3485	1
ZOTU_3493	4
ZOTU_3494	3
ZOTU_3500	5
ZOTU_3506	9
ZOTU_3536	2
ZOTU_3545	1
ZOTU_3550	9
ZOTU_3575	3
ZOTU_3617	9
ZOTU_3625	3
ZOTU_3631	7
ZOTU_3647	8
ZOTU_3650	2
ZOTU_3651	6
ZOTU_3653	1
ZOTU_3670	4
ZOTU_3671	3
ZOTU_3672	4
ZOTU_3688	18
ZOTU_3701	10
ZOTU_3709	9
ZOTU_3711	1
ZOTU_3845	6
ZOTU_3853	7
ZOTU_3856	10
ZOTU_3884	4
ZOTU_3891	9
ZOTU_3925	2
ZOTU_3928	2
ZOTU_3950	2
ZOTU_3971	17
ZOTU_3976	9
ZOTU_3994	13
ZOTU_4005	3
ZOTU_4015	2
ZOTU_4026	2
ZOTU_4032	12
ZOTU_4060	9
ZOTU_4076	5
ZOTU_4101	9
ZOTU_4106	12
ZOTU_4125	1
ZOTU_4132	7
ZOTU_4153	8
ZOTU_4187	6
ZOTU_4209	1
ZOTU_4214	4
ZOTU_4226	13
ZOTU_4228	10
ZOTU_4239	10
ZOTU_4241	1
ZOTU_4245	21
ZOTU_4251	3
ZOTU_4262	1
ZOTU_4287	14
ZOTU_4288	9
ZOTU_4303	6
ZOTU_4304	5
ZOTU_4305	6
ZOTU_4309	3
ZOTU_4311	10
ZOTU_4329	1
ZOTU_4356	15
ZOTU_4365	10
ZOTU_4366	8
ZOTU_4373	10
ZOTU_4396	12
ZOTU_4402	4
ZOTU_4405	2
ZOTU_4408	4
ZOTU_4416	8
ZOTU_4427	8
ZOTU_4495	8
ZOTU_4497	14
ZOTU_4509	11
ZOTU_4527	9
ZOTU_4530	8
ZOTU_4531	12
ZOTU_4534	2
ZOTU_4536	2
ZOTU_4549	1
ZOTU_4561	8
ZOTU_4572	2
ZOTU_4575	2
