#OTU ID	BS1
ZOTU_611	38
ZOTU_612	0
ZOTU_613	0
ZOTU_614	0
ZOTU_615	0
ZOTU_616	0
ZOTU_617	0
ZOTU_618	0
ZOTU_619	0
ZOTU_620	1
ZOTU_621	0
ZOTU_622	101
ZOTU_623	0
ZOTU_624	0
ZOTU_625	0
ZOTU_626	1
ZOTU_627	0
ZOTU_629	0
ZOTU_630	0
ZOTU_631	0
ZOTU_632	0
ZOTU_634	23
ZOTU_635	0
ZOTU_636	0
ZOTU_637	0
ZOTU_638	2
ZOTU_639	0
ZOTU_640	0
ZOTU_641	0
ZOTU_642	0
ZOTU_643	0
ZOTU_644	0
ZOTU_645	0
ZOTU_646	0
ZOTU_647	0
ZOTU_648	0
ZOTU_649	26
ZOTU_650	0
ZOTU_651	0
ZOTU_652	0
ZOTU_653	0
ZOTU_654	0
ZOTU_655	0
ZOTU_656	0
ZOTU_657	1
ZOTU_658	0
ZOTU_659	0
ZOTU_660	2
ZOTU_661	0
ZOTU_662	0
ZOTU_663	0
ZOTU_664	0
ZOTU_665	0
ZOTU_666	0
ZOTU_667	0
ZOTU_668	0
ZOTU_669	0
ZOTU_670	9
ZOTU_671	0
ZOTU_672	0
ZOTU_673	0
ZOTU_674	0
ZOTU_675	0
ZOTU_676	0
ZOTU_677	0
ZOTU_678	0
ZOTU_679	0
ZOTU_680	0
ZOTU_681	0
ZOTU_682	0
ZOTU_683	0
ZOTU_684	0
ZOTU_685	0
ZOTU_686	0
ZOTU_687	0
ZOTU_688	0
ZOTU_689	110
ZOTU_690	0
ZOTU_691	0
ZOTU_692	0
ZOTU_693	0
ZOTU_694	0
ZOTU_695	0
ZOTU_696	15
ZOTU_697	0
ZOTU_698	0
ZOTU_699	6
ZOTU_700	0
ZOTU_701	0
ZOTU_702	0
ZOTU_703	0
ZOTU_705	0
ZOTU_706	0
ZOTU_707	0
ZOTU_708	0
ZOTU_709	0
ZOTU_710	0
ZOTU_711	0
ZOTU_712	0
ZOTU_713	0
ZOTU_714	0
ZOTU_715	0
ZOTU_716	0
ZOTU_717	68
ZOTU_718	13
ZOTU_719	1
ZOTU_720	0
ZOTU_721	0
ZOTU_722	0
