#OTU ID	BS1
ZOTU_4495	8
ZOTU_4497	14
ZOTU_4509	13
ZOTU_4527	7
ZOTU_4530	12
ZOTU_4531	11
ZOTU_4534	3
ZOTU_4536	2
ZOTU_4549	1
ZOTU_4561	10
ZOTU_4572	4
ZOTU_4575	2
ZOTU_4578	1
ZOTU_4594	10
ZOTU_4603	3
ZOTU_4648	5
ZOTU_4678	7
ZOTU_4679	9
ZOTU_4695	11
ZOTU_4707	4
ZOTU_4712	3
ZOTU_4723	10
ZOTU_4739	1
ZOTU_4766	2
ZOTU_4767	7
ZOTU_4779	1
ZOTU_4828	4
ZOTU_4831	5
ZOTU_4870	7
ZOTU_4880	1
ZOTU_4884	7
ZOTU_4888	8
ZOTU_4890	8
ZOTU_4904	11
ZOTU_4916	7
ZOTU_4933	11
ZOTU_4934	2
ZOTU_4953	4
ZOTU_4957	3
ZOTU_4973	1
ZOTU_4990	1
ZOTU_5002	9
ZOTU_5011	1
ZOTU_5015	1
ZOTU_5018	6
ZOTU_5021	4
ZOTU_5027	1
ZOTU_5031	6
ZOTU_5050	1
ZOTU_5060	1
ZOTU_5068	3
ZOTU_5072	1
ZOTU_5075	1
ZOTU_5086	5
ZOTU_5096	8
ZOTU_5101	14
ZOTU_5115	1
ZOTU_5126	7
ZOTU_5151	8
ZOTU_5163	7
ZOTU_5166	5
ZOTU_5179	2
ZOTU_5188	12
ZOTU_5197	16
ZOTU_5220	4
ZOTU_5233	6
ZOTU_5269	6
ZOTU_5284	1
ZOTU_5308	2
ZOTU_5310	4
ZOTU_5313	9
ZOTU_5331	7
ZOTU_5336	3
ZOTU_5366	7
ZOTU_5370	1
ZOTU_5393	7
ZOTU_5398	7
ZOTU_5405	9
ZOTU_5417	6
ZOTU_5418	10
ZOTU_5430	7
ZOTU_5449	13
ZOTU_5487	7
ZOTU_5492	4
ZOTU_5525	2
ZOTU_5530	7
ZOTU_5531	4
ZOTU_5532	7
ZOTU_5561	9
ZOTU_5570	3
ZOTU_5610	1
ZOTU_5619	8
ZOTU_5625	1
ZOTU_5626	1
ZOTU_5641	2
ZOTU_5658	1
ZOTU_5661	7
ZOTU_5705	6
ZOTU_5709	4
ZOTU_5723	7
ZOTU_5762	6
ZOTU_5764	5
ZOTU_5773	8
ZOTU_5835	1
ZOTU_5836	1
